URL,Source,h1,p
https://thonet.co.nz/products/categories,https://thonet.co.nz,Product Categories,"Classic 19th & 20th C and contemporary 21st C designs suitable for casual or formal cafe and restaurant dining, office seating in breakout areas, and numerous public seating applications including libraries, churches, educational institutions, and airports. ### Classic 19th & 20th C and contemporary 21st C designs suitable for casual or formal dining in cafes, bars & restaurants, hotels, conference, breakout & meeting rooms, education & training facilities, stacking & outdoor requirements, residential interiors. ### Designer barstools for commercial and residential interiors including designs by Alvar Aalto, Ettore Sottsass, Philippe Stark & Jasper Morrison. ### Cafe Tables with NZ made tops to suit client requirements. Indoor and outdoor bases available. ### Upholstered banquettes and booths are a worthwhile investment for any commercial seating area and can enhance both the visual 'warmth' of a space, and the acoustic environment. ### A comprehensive range of tables & bar leaners suitable for commercial interiors. Indoor and outdoor designs available with New Zealand manufactured tops custom-made to order. Bespoke timber bar leaners and tables made using sustainable materials. ### Custom-made to order, our sofas are designed with longevity in mind. Made in New Zealand with superior foam, framing and feather, our designs can be sized to suit your interior and suit both leather & fabric. ### Classic European or contemporary designer coffee tables available in a range of custom sizes and finishes. ### A mix of international and local designs made in New Zealand. Small and large scale seating for residential interiors, including leather sofas and custom sizes. ### Upholstered seating suitable for hotel and restaurant applications where a more substantial dining or multi-purpose chair is required. ### Our custom joinery is manufactered locally to client requirements or imported from Europe. Furniture includes built-in or freestanding pieces for residential environments including sideboards, shelving, beds and storage. ### Designer outdoor furniture suitable for commercial and residential exterior spaces. ### Every Armadillo&Co rug purchase provides employment and helps sustain an industry of ancient craftsmanship, supports education and local schools in their weavers’ villages and builds brighter futures for children in underprivileged communities. ### Classic lighting designed by Finnish architect and designer Alvar Aalto, between 1937 - 1959. ### The Aalto vase dates back to 1936 and was first presented at the Paris World Fair the following year. Its fluid, organic form is still mouth blown today at the Iittala factory. ### Thonet New Zealand ### 10 Cambridge Terrace :: PO Box 9122 :: Wellington :: New Zealand ### P +64 4 801 9122 :: F +64 4 384 4880 ::info@thonet.co.nz::thonet.co.nz ### Drupal website development by Club Soda, New Zealand"
https://www.knoll.com/design-plan/products/by-category/tables/dining-cafe,https://www.knoll.com,Dining & Café Tables,"Classic or contemporary, bring everyone together with modern living room furniture. ### Bring style and sophistication to the table. Pair iconic modern dining tables with signature side chairs. ### Modern Comfort that Works.An affordable range of desks, chairs and accessories for working and learning at home. Most products ship free in 1–3 days. ### Furniture to spend your summer in: sip, dip and sun in style. ### Since 1938, Knoll has been recognized for creating modern furniture that inspires, evolves, and endures. Steeped in the history of modernism, our vision is carried forward today by the most talented contemporary designers. ### Discover classic and contemporary solutions for living, dining, and more with in-stock designs available in 1–2 weeks or as quickly as 1–3 days. ### Discover how Knoll furniture comes together to create inspired modern interiors throughout the home. ### We believe well-designed objects deliver efficiency, joy and satisfaction to the people who use them. ### Whether you are a commercial, educational, healthcare or government organization, we can help you achieve your workplace goals with an unmatched collection of products across a constellation of brands. ### Resources and tools for architects, designers and facilities professionals. ### We match your needs with research-supported tools, techniques, and insights we've developed over eight decades, applying our holistic understanding of the interplay between people, architecture and furniture, and the experiences they create. ### Learn how we use modern design to connect people to their work, their lives, their world. ### Classic or contemporary, bring everyone together with modern living room furniture. ### Bring style and sophistication to the table. Pair iconic modern dining tables with signature side chairs. ### Modern Comfort that Works.An affordable range of desks, chairs and accessories for working and learning at home. Most products ship free in 1–3 days. ### Furniture to spend your summer in: sip, dip and sun in style. ### Since 1938, Knoll has been recognized for creating modern furniture that inspires, evolves, and endures. Steeped in the history of modernism, our vision is carried forward today by the most talented contemporary designers. ### Discover classic and contemporary solutions for living, dining, and more with in-stock designs available in 1–2 weeks or as quickly as 1–3 days. ### Discover how Knoll furniture comes together to create inspired modern interiors throughout the home. ### We believe well-designed objects deliver efficiency, joy and satisfaction to the people who use them. ### Whether you are a commercial, educational, healthcare or government organization, we can help you achieve your workplace goals with an unmatched collection of products across a constellation of brands. ### Resources and tools for architects, designers and facilities professionals. ### We match your needs with research-supported tools, techniques, and insights we've developed over eight decades, applying our holistic understanding of the interplay between people, architecture and furniture, and the experiences they create. ### Learn how we use modern design to connect people to their work, their lives, their world. ### Newson Task™ ### Ollo®with Knit Back ### k.™screen ### Extend ### Generation by Knoll® ### ReGeneration by Knoll® ### Antenna Workspaces® ### Dividends Horizon® ### Rockwell Unscripted®Creative Wall® ### k. stand™Height‑Adjustable Tables ### k.™bench Height‑Adjustable Benching ### Anchor™ ### Quoin™ ### 3D Furniture Symbols ### Page ### Knoll Showrooms ### Page ### How to Purchase ### Page ### Sales Teams ### Page ### Dining and café tables create comfortable and inspiring spaces to eat and converse in corporate, restaurant and hospitality settings. As ""town centers"", dining and café spaces in the office serve as community areas that encourage interactions where office culture can flourish. ### Saarinen Table - Round ### Saarinen Dining Table – Oval ### Florence Knoll™Table Desk ### Florence Knoll™Dining Tables ### Platner Dining Table ### Cyclone™ Dining Table ### Risom Dining Table ### D'Urso High Tables ### 1966 Dining Table ### 1966 Dining Table - Bar and Counter Height ### Face Off Table ### Islands Collection by Knoll® ### Rockwell Unscripted®Tall Tables ### Rockwell Unscripted®Easy Tables ### Antenna®Simple Tables ### Antenna®Tables and Desks ### Antenna®Y-Base Tables ### Dividends Horizon®Y-Base Tables ### Dividends Horizon®X-Base Tables ### Iquo Table - Round ### Iquo Table - Square ### Pixel™4-Leg Tables ### Pixel™Column Leg Tables ### Reff Profiles™ Meeting and Conference Tables ### Reff Profiles™ Tables and Desks ### AutoStrada®Tables ### Grasshopper™Dining Table - Rectangular ### Grasshopper™Dining Table - Round"
https://www.skovby.com/en-gb/products/new-releases/news-skovby-141-dining-table,https://www.skovby.com,SKOVBY #141 DINING TABLE,"The whole concept behind this table design revolves around the distinctive gable detail adorning the ends of the tabletops - an element which challenges the natural grain of the wood, imparting a sense of loyalty to both the construction and the material itself. ### Our #141 table has a fixed tabletop and the dimensions is 100x209. You'll be able to seat eight people around the table.The dining table is also available in an smaller version, Skovby #140. ### This product will be available in stores in August 2024.For details on where to purchase, feel free to contactskovby@skovby.dk. ### Forkert vedligeholdelse kan ødelægge dine møbler! ### Alt for mange af de problemer, der opstår med møbler, sker som følge af forkert vedligeholdelse og/eller fordi der ved køb gives forkerte eller mangelfulde informationer. ### Vi anbefaler dig derfor at følge vores anvisninger til pleje og vedligeholdelse.Læs mere ompleje og vedligeholdelseeller download vores plejeinstruktionher. ### Skovby furniture design builds on 80 years of experience with furniture production and a solid and strong opinion on raw materials, production and design. Our company is 100 % danish and our furniture 100% danish design. ### Find your closest Skovby stockist, easy and simple."
https://www.skovby.com/en-gb/products/new-releases/news-skovby-143-dining-table,https://www.skovby.com,SKOVBY #143 DINING TABLE,"The whole concept behind this table design revolves around the distinctive gable detail adorning the ends of the tabletops - an element which challenges the natural grain of the wood, imparting a sense of loyalty to both the construction and the material itself. ### Our #143 table has 2 veneered leaves hidden under the tabletop. The directions of the veneer structure of the leaves are opposite of the struture of the table.The dimensions of the table is 100x209-305 and you'll be able to seat 8-12 people around the table.  The table is also avaible in a smaller version, #142. ### This product will be available in stores in August 2024.For details on where to purchase, feel free to contactskovby@skovby.dk. ### Forkert vedligeholdelse kan ødelægge dine møbler! ### Alt for mange af de problemer, der opstår med møbler, sker som følge af forkert vedligeholdelse og/eller fordi der ved køb gives forkerte eller mangelfulde informationer. ### Vi anbefaler dig derfor at følge vores anvisninger til pleje og vedligeholdelse.Læs mere ompleje og vedligeholdelseeller download vores plejeinstruktionher. ### Skovby furniture design builds on 80 years of experience with furniture production and a solid and strong opinion on raw materials, production and design. Our company is 100 % danish and our furniture 100% danish design. ### Find your closest Skovby stockist, easy and simple."
https://www.knoll.com/design-plan/products/by-category/tables/outdoor-tables,https://www.knoll.com,Outdoor Tables,"Classic or contemporary, bring everyone together with modern living room furniture. ### Bring style and sophistication to the table. Pair iconic modern dining tables with signature side chairs. ### Modern Comfort that Works.An affordable range of desks, chairs and accessories for working and learning at home. Most products ship free in 1–3 days. ### Furniture to spend your summer in: sip, dip and sun in style. ### Since 1938, Knoll has been recognized for creating modern furniture that inspires, evolves, and endures. Steeped in the history of modernism, our vision is carried forward today by the most talented contemporary designers. ### Discover classic and contemporary solutions for living, dining, and more with in-stock designs available in 1–2 weeks or as quickly as 1–3 days. ### Discover how Knoll furniture comes together to create inspired modern interiors throughout the home. ### We believe well-designed objects deliver efficiency, joy and satisfaction to the people who use them. ### Whether you are a commercial, educational, healthcare or government organization, we can help you achieve your workplace goals with an unmatched collection of products across a constellation of brands. ### Resources and tools for architects, designers and facilities professionals. ### We match your needs with research-supported tools, techniques, and insights we've developed over eight decades, applying our holistic understanding of the interplay between people, architecture and furniture, and the experiences they create. ### Learn how we use modern design to connect people to their work, their lives, their world. ### Classic or contemporary, bring everyone together with modern living room furniture. ### Bring style and sophistication to the table. Pair iconic modern dining tables with signature side chairs. ### Modern Comfort that Works.An affordable range of desks, chairs and accessories for working and learning at home. Most products ship free in 1–3 days. ### Furniture to spend your summer in: sip, dip and sun in style. ### Since 1938, Knoll has been recognized for creating modern furniture that inspires, evolves, and endures. Steeped in the history of modernism, our vision is carried forward today by the most talented contemporary designers. ### Discover classic and contemporary solutions for living, dining, and more with in-stock designs available in 1–2 weeks or as quickly as 1–3 days. ### Discover how Knoll furniture comes together to create inspired modern interiors throughout the home. ### We believe well-designed objects deliver efficiency, joy and satisfaction to the people who use them. ### Whether you are a commercial, educational, healthcare or government organization, we can help you achieve your workplace goals with an unmatched collection of products across a constellation of brands. ### Resources and tools for architects, designers and facilities professionals. ### We match your needs with research-supported tools, techniques, and insights we've developed over eight decades, applying our holistic understanding of the interplay between people, architecture and furniture, and the experiences they create. ### Learn how we use modern design to connect people to their work, their lives, their world. ### Newson Task™ ### Ollo®with Knit Back ### k.™screen ### Extend ### Generation by Knoll® ### ReGeneration by Knoll® ### Antenna Workspaces® ### Dividends Horizon® ### Rockwell Unscripted®Creative Wall® ### k. stand™Height‑Adjustable Tables ### k.™bench Height‑Adjustable Benching ### Anchor™ ### Quoin™ ### 3D Furniture Symbols ### Page ### Knoll Showrooms ### Page ### How to Purchase ### Page ### Sales Teams ### Page ### A commitment to experimentation and innovation keeps Knoll at the forefront of modern outdoor furniture designs. Durable materials and quality manufacturing keep these outdoor tables looking their best year after year. ### 1966 Dining Table ### 1966 Dining Table - Bar and Counter Height ### Iquo Table - Round ### Iquo Table - Square ### Petal®Dining Table ### Saarinen Outdoor Dining Tables ### Topiary®Dining Table ### Risom Outdoor Side Table - Round ### Risom Outdoor Side Table - Square ### Petal®Coffee Table ### Petal®End Table ### 1966 Coffee and End Tables ### 1966 Serving Cart"
https://www.skovby.com/en-gb/products/new-releases/news-skovby-140-dining-table,https://www.skovby.com,SKOVBY #140 DINING TABLE,"The whole concept behind this table design revolves around the distinctive gable detail adorning the ends of the tabletops - an element which challenges the natural grain of the wood, imparting a sense of loyalty to both the construction and the material itself. ### Our #140 table has a fixed tabletop and the dimensions is 100x174. You'll be able to seat 6 people around the table.The dining table is also available in an extended version, Skovby #141. ### This product will be available in stores in August 2024.For details on where to purchase, feel free to contactskovby@skovby.dk. ### Forkert vedligeholdelse kan ødelægge dine møbler! ### Alt for mange af de problemer, der opstår med møbler, sker som følge af forkert vedligeholdelse og/eller fordi der ved køb gives forkerte eller mangelfulde informationer. ### Vi anbefaler dig derfor at følge vores anvisninger til pleje og vedligeholdelse.Læs mere ompleje og vedligeholdelseeller download vores plejeinstruktionher. ### Skovby furniture design builds on 80 years of experience with furniture production and a solid and strong opinion on raw materials, production and design. Our company is 100 % danish and our furniture 100% danish design. ### Find your closest Skovby stockist, easy and simple."
https://www.skovby.com/en-gb/products/new-releases/news-skovby-142-dining-table,https://www.skovby.com,SKOVBY #142 DINING TABLE,"The whole concept behind this table design revolves around the distinctive gable detail adorning the ends of the tabletops - an element which challenges the natural grain of the wood, imparting a sense of loyalty to both the construction and the material itself. ### Our #142 table has 2 veneered leaves hidden under the tabletop. The directions of the veneer structure of the leaves are opposite of the struture of the table.The dimensions of the table is 100x174-270 and you'll be able to seat 6-10 people around the table.  The table is also avaible in a longer version, #143. ### This product will be available in stores in August 2024.For details on where to purchase, feel free to contactskovby@skovby.dk. ### Forkert vedligeholdelse kan ødelægge dine møbler! ### Alt for mange af de problemer, der opstår med møbler, sker som følge af forkert vedligeholdelse og/eller fordi der ved køb gives forkerte eller mangelfulde informationer. ### Vi anbefaler dig derfor at følge vores anvisninger til pleje og vedligeholdelse.Læs mere ompleje og vedligeholdelseeller download vores plejeinstruktionher. ### Skovby furniture design builds on 80 years of experience with furniture production and a solid and strong opinion on raw materials, production and design. Our company is 100 % danish and our furniture 100% danish design. ### Find your closest Skovby stockist, easy and simple."
https://www.knoll.com/design-plan/products/by-category/workplace-collections-and-systems/private-office,https://www.knoll.com,Private OfficeWorkplace Collections& Furniture Systems,"Classic or contemporary, bring everyone together with modern living room furniture. ### Bring style and sophistication to the table. Pair iconic modern dining tables with signature side chairs. ### Modern Comfort that Works.An affordable range of desks, chairs and accessories for working and learning at home. Most products ship free in 1–3 days. ### Furniture to spend your summer in: sip, dip and sun in style. ### Since 1938, Knoll has been recognized for creating modern furniture that inspires, evolves, and endures. Steeped in the history of modernism, our vision is carried forward today by the most talented contemporary designers. ### Discover classic and contemporary solutions for living, dining, and more with in-stock designs available in 1–2 weeks or as quickly as 1–3 days. ### Discover how Knoll furniture comes together to create inspired modern interiors throughout the home. ### We believe well-designed objects deliver efficiency, joy and satisfaction to the people who use them. ### Whether you are a commercial, educational, healthcare or government organization, we can help you achieve your workplace goals with an unmatched collection of products across a constellation of brands. ### Resources and tools for architects, designers and facilities professionals. ### We match your needs with research-supported tools, techniques, and insights we've developed over eight decades, applying our holistic understanding of the interplay between people, architecture and furniture, and the experiences they create. ### Learn how we use modern design to connect people to their work, their lives, their world. ### Classic or contemporary, bring everyone together with modern living room furniture. ### Bring style and sophistication to the table. Pair iconic modern dining tables with signature side chairs. ### Modern Comfort that Works.An affordable range of desks, chairs and accessories for working and learning at home. Most products ship free in 1–3 days. ### Furniture to spend your summer in: sip, dip and sun in style. ### Since 1938, Knoll has been recognized for creating modern furniture that inspires, evolves, and endures. Steeped in the history of modernism, our vision is carried forward today by the most talented contemporary designers. ### Discover classic and contemporary solutions for living, dining, and more with in-stock designs available in 1–2 weeks or as quickly as 1–3 days. ### Discover how Knoll furniture comes together to create inspired modern interiors throughout the home. ### We believe well-designed objects deliver efficiency, joy and satisfaction to the people who use them. ### Whether you are a commercial, educational, healthcare or government organization, we can help you achieve your workplace goals with an unmatched collection of products across a constellation of brands. ### Resources and tools for architects, designers and facilities professionals. ### We match your needs with research-supported tools, techniques, and insights we've developed over eight decades, applying our holistic understanding of the interplay between people, architecture and furniture, and the experiences they create. ### Learn how we use modern design to connect people to their work, their lives, their world. ### Newson Task™ ### Ollo®with Knit Back ### k.™screen ### Extend ### Generation by Knoll® ### ReGeneration by Knoll® ### Antenna Workspaces® ### Dividends Horizon® ### Rockwell Unscripted®Creative Wall® ### k. stand™Height‑Adjustable Tables ### k.™bench Height‑Adjustable Benching ### Anchor™ ### Quoin™ ### 3D Furniture Symbols ### Page ### Knoll Showrooms ### Page ### How to Purchase ### Page ### Sales Teams ### Page ### Knoll furniture systems combine performance features, clean lines and quality materials to deliver nimble private offices that support today's technology-rich, collaboration-focused workplace. ### Cove Collection by Knoll ### Reff Profiles® ### AutoStrada® ### Dividends Horizon ### Antenna Workplaces® ### Template®"
https://shannonsales.co.uk/products/sofas-and-chairs/,https://shannonsales.co.uk,Sofas & Chairs,Follow Us
https://shannonsales.co.uk/products/sofas-and-chairs/sofabeds/,https://shannonsales.co.uk,Sofabeds,"Follow Us ### As houses seem to be getting smaller, a guest bedroom has become somewhat of a luxury for many homes, yet there is always the chance your teenager wants a friend to come for a sleepover, your parents are coming over to see their grandchildren or even all too often theses days your grown up 'child' needs to move back home for financial reasons. This is when the sofabed comes into its own. ### Shannon Sales Sofabeds, unlike some, are comfortable not only as a sofa but also a bed. They are both stylish and compact, available in fabric or leather and come in different sizes from a single bed to a full double sofabed. They are also very easy to use and our friendly staff are always on hand to give you a demonstration. ### Shannon Sales offer a free delivery and assembly service within a 40 mile radius and if you are unsure of your colour choice for your sofabed, before we order for you we always encourage you to borrow our fabric samples, just to check in your own environment. ### Shannon Sales has been family owned and run since 1970. We offer a warm, personal service and a large range of stunning furnishings. Free delivery and assembly on any of our furniture within a 40 mile radius. We even dispose of your old item."
https://www.morningstartrading.ca/products/hanging-sign-hand-crafted-hand-painted-3ft-wide-by-4ft-tall,https://www.morningstartrading.ca,HANGING SIGN-HAND CRAFTED HAND PAINTED-3FT WIDE BY 4FT TALL,N/A
